operation,year,sample_label,date,julian_day,leg,lat_deg,lat_min,lat_ns,long_deg,long_min,long_EW,station,ctd,bottle,sample_code,sample_type,depth_level,depth_m,snow_cover,fsw_added_mL,total_volume_after_melting_mL,ice_corrected,sampling_person,sampling_comment,fcm_instrument,fcm_operator,file_fluo_nat,Syn_mL,Pico_mL,Pico_FSC,Pico_SSC,Pico_Chl,Nano_mL,Nano_FSC,Nano_SSC,Nano_Chl,Crypto_mL,Crypto_FSC,Crypto_SSC,Crypto_PE,Crypto_Chl,file_bact,HBact_mL,HBact_SSC,HBact_DNA,LBact_mL,LBact_SSC,LBact_DNA,Bact_mL
Ice camp,2015,IC2015_189_UI,2015-07-10,189,4,67,28.774,N,63,47.398,W,,,,,water,underice,0,,,,,,"depuis trou du GOPS, salinité 5 (doit faire un nouveau trou la prochaine fois)",FACS Canto,M. Tragin,GE15f_189_UI,,570,17.694,1.676,4.331,307,2989.919,126.237,1028.876,0,,,,,GE15b_189_UI,17576,0.069,0.501,0,,,17576
Ice camp,2015,IC2015_191_1m,2015-07-10,191,4,67,28.774,N,63,47.398,W,,,,,water,1.5,1.5,,,,,,,FACS Canto,M. Tragin,GE15f_191_1m,,16223,6.486,0.862,1.808,6184,699.589,38.025,197.744,0,,,,,GE15b_191_1m,202690,0.037,0.393,95974,0.013,0.06,298664
Ice camp,2015,IC2015_191_5m,2015-07-10,191,4,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,,,FACS Canto,M. Tragin,GE15f_191_5m,,17447,9.434,1.416,1.494,5845,912.542,46.525,163.856,0,,,,,GE15b_191_5m,218534,0.034,0.372,113862,0.013,0.058,332397
Ice camp,2015,IC2015_191_8m,2015-07-10,191,4,67,28.774,N,63,47.398,W,,,,,water,8,8,,,,,,,FACS Canto,M. Tragin,GE15f_191_8m,,8026,13.899,1.301,9.936,4340,1160.731,69.57,748.017,0,,,,,GE15b_191_8m,205767,0.031,0.352,110043,0.012,0.06,315810
Ice camp,2015,IC2015_191_18m,2015-07-10,191,4,67,28.774,N,63,47.398,W,,,,,water,18,18,,,,,,,FACS Canto,M. Tragin,GE15f_191_18m,,5091,14.823,1.425,15.085,2511,1193.237,47.551,801.269,0,,,,,GE15b_191_18m,203224,0.03,0.332,107328,0.012,0.06,310552
Ice camp,2015,IC2015_191_40m,2015-07-10,191,4,67,28.774,N,63,47.398,W,,,,,water,40,40,,,,,,IMPORTANT : Depuis arrivé T.L. AP : CAT No1825-025,FACS Canto,M. Tragin,GE15f_191_40m,,2097,13.562,3.539,7.186,735,874.217,35.871,394.222,0,,,,,GE15b_191_40m,133250,0.031,0.278,100250,0.011,0.057,233500
Ice camp,2016,IC2016_125_1,2016-05-04,125,,67,28.7839998,N,63,47.3719998,W,,,,1,water,Under Ice,0,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_125_1.fcs,,0,,,,79,1018.487,154.18,1730.098,0,,,,,IC16b_125_1.fcs,160526,0.013,0.103,76850,0.036,0.43,237376
Ice camp,2016,IC2016_125_2,2016-05-04,125,,67,28.7839998,N,63,47.3719998,W,,,,2,water,1.5,1.5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_125_2.fcs,,0,,,,79,1562.695,139.383,1681.041,0,,,,,IC16b_125_2.fcs,160574,0.012,0.104,69530,0.032,0.435,230104
Ice camp,2016,IC2016_125_3,2016-05-04,125,,67,28.7839998,N,63,47.3719998,W,,,,3,water,5,5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_125_3.fcs,,0,,,,38,2943.638,285.876,2025.086,0,,,,,IC16b_125_3.fcs,157823,0.011,0.106,70734,0.029,0.44,228557
Ice camp,2016,IC2016_125_4,2016-05-04,125,,67,28.7839998,N,63,47.3719998,W,,,,4,water,10,10,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_125_4.fcs,,0,,,,63,2316.231,202.653,2080.412,0,,,,,IC16b_125_4.fcs,154051,0.012,0.107,68716,0.029,0.437,222767
Ice camp,2016,IC2016_125_5,2016-05-04,125,,67,28.7839998,N,63,47.3719998,W,,,,5,water,20,20,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_125_5.fcs,,0,,,,53,1930.797,189.888,1971.643,0,,,,,IC16b_125_5.fcs,151722,0.011,0.104,64841,0.028,0.438,216563
Ice camp,2016,IC2016_125_6,2016-05-04,125,,67,28.7839998,N,63,47.3719998,W,,,,6,water,40,40,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_125_6.fcs,,0,,,,36,742.223,84.593,1635.272,0,,,,,IC16b_125_6.fcs,147951,0.011,0.105,60295,0.029,0.449,208246
Ice camp,2016,IC2016_125_I1,2016-05-04,125,,67,28.7839998,N,63,47.3719998,W,,,,IC3,ice,0-3 cm,,low,3400,4600,yes,Daniel,,FACS Canto,M. Tragin,IC16f_125_I1.fcs,,0,,,,17766,1411.536,108.493,2362.046,0,,,,,IC16b_125_I1.fcs,0,,,258949,0.127,1.265,258949
Ice camp,2016,IC2016_125_I2,2016-05-04,125,,67,28.7839998,N,63,47.3719998,W,,,,IC4,ice,3-10 cm,,low,9300,12275,yes,Daniel,,FACS Canto,M. Tragin,IC16f_125_I2.fcs,,0,,,,1497,927.862,77.787,1452.021,0,,,,,IC16b_125_I2.fcs,0,,,107659,0.077,0.776,107659
Ice camp,2016,IC2016_127_1,2016-05-06,127,,67,28.7839998,N,63,47.3719998,W,,,,1,water,Under Ice,0,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_127_1.fcs,,0,,,,107,1592.307,161.291,1414.422,0,,,,,IC16b_125_1.fcs,167018,0.011,0.113,78549,0.027,0.481,245567
Ice camp,2016,IC2016_127_2,2016-05-06,127,,67,28.7839998,N,63,47.3719998,W,,,,2,water,1.5,1.5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_127_2.fcs,,0,,,,56,1269.517,135.291,1337.64,0,,,,,IC16b_125_2.fcs,211707,0.01,0.092,70215,0.027,0.463,281922
Ice camp,2016,IC2016_127_3,2016-05-06,127,,67,28.7839998,N,63,47.3719998,W,,,,3,water,5,5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_127_3.fcs,,0,,,,46,1391.36,236.941,1546.487,0,,,,,IC16b_125_3.fcs,148054,0.011,0.094,87592,0.024,0.389,235646
Ice camp,2016,IC2016_127_4,2016-05-06,127,,67,28.7839998,N,63,47.3719998,W,,,,4,water,10,10,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_127_4.fcs,,0,,,,41,475.156,46.524,1288.804,0,,,,,IC16b_125_4.fcs,161491,0.012,0.109,65231,0.029,0.447,226722
Ice camp,2016,IC2016_127_5,2016-05-06,127,,67,28.7839998,N,63,47.3719998,W,,,,5,water,20,20,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_127_5.fcs,,0,,,,18,99.735,2.161,1215.024,0,,,,,IC16b_125_5.fcs,183206,0.011,0.107,58612,0.027,0.484,241818
Ice camp,2016,IC2016_127_6,2016-05-06,127,,67,28.7839998,N,63,47.3719998,W,,,,6,water,40,40,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_127_6.fcs,,0,,,,28,1200.628,112.366,1669.492,0,,,,,IC16b_125_6.fcs,177041,0.011,0.106,56715,0.026,0.487,233756
Ice camp,2016,IC2016_127_LS1,2016-05-06,127,,67,28.7839998,N,63,47.3719998,W,,,,IC3,ice,0-3 cm,,low,3400,4580,yes,Daniel,,FACS Canto,M. Tragin,IC16f_127_LS1.fcs,,0,,,,5967,1783.594,104.51,2697.752,0,,,,,IC16b_125_I1.fcs,0,,,168780,0.115,1.08,168780
Ice camp,2016,IC2016_127_LS2,2016-05-06,127,,67,28.7839998,N,63,47.3719998,W,,,,IC4,ice,3-10 cm,,low,9300,12384,yes,Daniel,,FACS Canto,M. Tragin,IC16f_127_LS2.fcs,,0,,,,1508,1009.939,70.668,2136.298,0,,,,,IC16b_125_I2.fcs,0,,,145092,0.071,0.716,145092
Ice camp,2016,IC2016_127_2_TFF,2016-05-06,127,,67,28.7839998,N,63,47.3719998,W,,,,2,TFF,1.5,1.5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_127_2_TFF.fcs,,0,,,,238,1832.255,223.433,2001.426,0,,,,,IC16b_127_2_TFF.fcs,113373,0.014,0.108,61547,0.043,0.623,174920
Ice camp,2016,IC2016_127_4_TFF,2016-05-06,127,,67,28.7839998,N,63,47.3719998,W,,,,4,TFF,10,10,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_127_4_TFF.fcs,,0,,,,279,1851.781,173.971,1593.35,0,,,,,IC16b_127_4_TFF.fcs,77432,0.015,0.112,41675,0.035,0.578,119107
Ice camp,2016,IC2016_130_1,2016-05-09,130,,67,28.7839998,N,63,47.3719998,W,,,,1,water,Under Ice,0,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_130_1.fcs,,0,,,,63,2779.87,228.476,2455.163,0,,,,,IC16b_130_1.fcs,141236,0.012,0.112,67717,0.035,0.481,208953
Ice camp,2016,IC2016_130_2,2016-05-09,130,,67,28.7839998,N,63,47.3719998,W,,,,2,water,1.5,1.5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_130_2.fcs,,0,,,,63,806.144,68.499,1136.824,0,,,,,IC16b_130_2.fcs,140276,0.011,0.111,60535,0.032,0.471,200811
Ice camp,2016,IC2016_130_3,2016-05-09,130,,67,28.7839998,N,63,47.3719998,W,,,,3,water,5,5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_130_3.fcs,,0,,,,59,1358.667,97.707,1583.074,0,,,,,IC16b_130_3.fcs,147094,0.012,0.11,63189,0.03,0.455,210283
Ice camp,2016,IC2016_130_4,2016-05-09,130,,67,28.7839998,N,63,47.3719998,W,,,,4,water,10,10,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_130_4.fcs,,0,,,,83,1066.129,55.3,1365.326,0,,,,,IC16b_130_4.fcs,138843,0.012,0.111,63236,0.031,0.478,202079
Ice camp,2016,IC2016_130_5,2016-05-09,130,,67,28.7839998,N,63,47.3719998,W,,,,5,water,20,20,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_130_5.fcs,,0,,,,79,2047.987,216.754,2449.783,0,,,,,IC16b_130_5.fcs,144055,0.011,0.112,65654,0.028,0.468,209709
Ice camp,2016,IC2016_130_6,2016-05-09,130,,67,28.7839998,N,63,47.3719998,W,,,,6,water,40,40,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_130_6.fcs,,0,,,,83,3429.067,178.728,1880.176,0,,,,,IC16b_130_6.fcs,141945,0.012,0.112,67244,0.03,0.472,209189
Ice camp,2016,IC2016_130_I3,2016-05-09,130,,67,28.7839998,N,63,47.3719998,W,,,,IC3,ice,0-3 cm,,low,4000,5060,yes,Daniel,,FACS Canto,M. Tragin,IC16f_130_I3.fcs,,0,,,,7735,1662.941,91.327,2763.599,0,,,,,IC16b_130_I3.fcs,0,,,108063,0.091,0.864,108063
Ice camp,2016,IC2016_130_I4,2016-05-09,130,,67,28.7839998,N,63,47.3719998,W,,,,IC4,ice,3-10 cm,,low,9300,11980,yes,Daniel,,FACS Canto,M. Tragin,IC16f_130_I4.fcs,,0,,,,1756,993.943,69.421,2079.879,0,,,,,IC16b_130_I4.fcs,0,,,75817,0.075,0.762,75817
Ice camp,2016,IC2016_132_1,2016-05-11,132,,67,28.7839998,N,63,47.3719998,W,,,,1,water,Under Ice,0,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_132_1.fcs,,0,,,,69,1450.046,139.004,2210.657,0,,,,,IC16b_132_1.fcs,144417,0.012,0.113,65118,0.035,0.509,209535
Ice camp,2016,IC2016_132_2,2016-05-11,132,,67,28.7839998,N,63,47.3719998,W,,,,2,water,1.5,1.5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_132_2.fcs,,0,,,,63,484.205,10.258,1372.211,0,,,,,IC16b_132_2.fcs,143331,0.012,0.114,67913,0.033,0.509,211244
Ice camp,2016,IC2016_132_3,2016-05-11,132,,67,28.7839998,N,63,47.3719998,W,,,,3,water,5,5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_132_3.fcs,,0,,,,73,1536.964,136.96,1761.351,0,,,,,IC16b_132_3.fcs,145598,0.012,0.112,63913,0.03,0.488,209511
Ice camp,2016,IC2016_132_4,2016-05-11,132,,67,28.7839998,N,63,47.3719998,W,,,,4,water,10,10,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_132_4.fcs,,0,,,,76,1340.044,59.712,1747.916,0,,,,,IC16b_132_4.fcs,144126,0.012,0.111,63228,0.031,0.489,207354
Ice camp,2016,IC2016_132_5,2016-05-11,132,,67,28.7839998,N,63,47.3719998,W,,,,5,water,20,20,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_132_5.fcs,,0,,,,86,1721.524,120.729,1617.034,0,,,,,IC16b_132_5.fcs,141787,0.012,0.112,65811,0.029,0.485,207598
Ice camp,2016,IC2016_132_6,2016-05-11,132,,67,28.7839998,N,63,47.3719998,W,,,,6,water,40,40,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_132_6.fcs,,0,,,,33,2661.628,187.393,968.266,0,,,,,IC16b_132_6.fcs,145213,0.012,0.112,67276,0.029,0.484,212489
Ice camp,2016,IC2016_132_I3,2016-05-11,132,,67,28.7839998,N,63,47.3719998,W,,,,IC3,ice,0-3 cm,,low,4000,5050,yes,Daniel,,FACS Canto,M. Tragin,IC16f_132_I3.fcs,,0,,,,6143,1387.709,63.471,2678.281,0,,,,,IC16b_132_I3.fcs,0,,,139325,0.104,1.109,139325
Ice camp,2016,IC2016_132_I4,2016-05-11,132,,67,28.7839998,N,63,47.3719998,W,,,,IC4,ice,3-10 cm,,low,9300,12290,yes,Daniel,,FACS Canto,M. Tragin,IC16f_132_I4.fcs,,0,,,,1981,1243.125,90.584,2211.9,0,,,,,IC16b_132_I4.fcs,0,,,96319,0.073,0.793,96319
Ice camp,2016,IC2016_134_1,2016-05-13,134,,67,28.7839998,N,63,47.3719998,W,,,,1,water,Under Ice,0,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_134_1.fcs,,0,,,,69,1450.046,139.004,2210.657,0,,,,,IC16b_134_1.fcs,141638,0.012,0.113,62520,0.03,0.478,204158
Ice camp,2016,IC2016_134_2,2016-05-13,134,,67,28.7839998,N,63,47.3719998,W,,,,2,water,1.5,1.5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_134_2.fcs,,0,,,,62,484.205,10.258,1372.211,0,,,,,IC16b_134_2.fcs,144071,0.012,0.116,68417,0.032,0.509,212488
Ice camp,2016,IC2016_134_3,2016-05-13,134,,67,28.7839998,N,63,47.3719998,W,,,,3,water,5,5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_134_3.fcs,,0,,,,72,1536.964,136.96,1761.351,0,,,,,IC16b_134_3.fcs,145685,0.012,0.116,67740,0.029,0.497,213425
Ice camp,2016,IC2016_134_4,2016-05-13,134,,67,28.7839998,N,63,47.3719998,W,,,,4,water,10,10,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_134_4.fcs,,0,,,,75,1340.044,59.712,1747.916,0,,,,,IC16b_134_4.fcs,141016,0.012,0.115,66780,0.03,0.486,207796
Ice camp,2016,IC2016_134_5,2016-05-13,134,,67,28.7839998,N,63,47.3719998,W,,,,5,water,20,20,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_134_5.fcs,,0,,,,85,1721.524,120.729,1617.034,0,,,,,IC16b_134_5.fcs,147992,0.012,0.114,68126,0.029,0.483,216118
Ice camp,2016,IC2016_134_6,2016-05-13,134,,67,28.7839998,N,63,47.3719998,W,,,,6,water,40,40,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_134_6.fcs,,0,,,,33,2661.628,187.393,968.266,0,,,,,IC16b_134_6.fcs,144339,0.012,0.114,64465,0.029,0.491,208804
Ice camp,2016,IC2016_134_I3,2016-05-13,134,,67,28.7839998,N,63,47.3719998,W,,,,IC3,ice,0-3 cm,,low,4000,5200,yes,Daniel,,FACS Canto,M. Tragin,IC16f_134_I3.fcs,,0,,,,5497,1387.709,63.471,2678.281,0,,,,,IC16b_134_I3.fcs,0,,,342845,0.083,0.85,342845
Ice camp,2016,IC2016_134_I4,2016-05-13,134,,67,28.7839998,N,63,47.3719998,W,,,,IC4,ice,3-10 cm,,low,9300,12300,yes,Daniel,,FACS Canto,M. Tragin,IC16f_134_I4.fcs,,0,,,,1962,1243.125,90.584,2211.9,0,,,,,IC16b_134_I4.fcs,0,,,114768,0.064,0.673,114768
Ice camp,2016,IC2016_134_2_TFF,2016-05-13,134,,67,28.7839998,N,63,47.3719998,W,,,,2,TFF,1.5,1.5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_134_2_TFF.fcs,,0,,,,492,2091.602,140.49,1755.978,0,,,,,IC16b_134_2_TFF.fcs,277213,0.015,0.102,146772,0.046,0.611,423985
Ice camp,2016,IC2016_134_4_TFF,2016-05-13,134,,67,28.7839998,N,63,47.3719998,W,,,,4,TFF,10,10,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_134_4_TFF.fcs,,0,,,,737,1541.483,114.045,1425.394,0,,,,,IC16b_134_4_TFF.fcs,1467795,0.012,0.107,728583,0.037,0.542,2196378
Ice camp,2016,IC2016_134_I3_TFF,2016-05-13,134,,67,28.7839998,N,63,47.3719998,W,,,,IC3,ice TFF,0-3 cm,,low,,,,Daniel,,FACS Canto,M. Tragin,IC16f_134_I3_TFF.fcs,,0,,,,5418,1362.574,129.287,1490.84,0,,,,,IC16b_134_I3_TFF.fcs,0,,,91198,0.073,0.745,91198
Ice camp,2016,IC2016_134_I4_TFF,2016-05-13,134,,67,28.7839998,N,63,47.3719998,W,,,,IC4,ice TFF,3-10 cm,,low,,,,Daniel,,FACS Canto,M. Tragin,IC16f_134_I4_TFF.fcs,,0,,,,2176,279.246,70.698,522.146,0,,,,,IC16b_134_I4_TFF.fcs,0,,,107107,0.089,0.783,107107
Ice camp,2016,IC2016_137_1,2016-05-16,137,,67,28.7839998,N,63,47.3719998,W,,,,1,water,Under Ice,0,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_137_1.fcs,,0,,,,72,146.553,56.496,1078.605,0,,,,,IC16b_137_1.fcs,147380,0.012,0.104,109066,0.025,0.407,256446
Ice camp,2016,IC2016_137_2,2016-05-16,137,,67,28.7839998,N,63,47.3719998,W,,,,2,water,1.5,1.5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_137_2.fcs,,0,,,,115,136.587,75.306,824.79,0,,,,,IC16b_137_2.fcs,150413,0.012,0.102,111380,0.028,0.425,261793
Ice camp,2016,IC2016_137_3,2016-05-16,137,,67,28.7839998,N,63,47.3719998,W,,,,3,water,5,5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_137_3.fcs,,0,,,,121,116.269,36.293,542.98,0,,,,,IC16b_137_3.fcs,154331,0.011,0.097,108008,0.026,0.409,262339
Ice camp,2016,IC2016_137_4,2016-05-16,137,,67,28.7839998,N,63,47.3719998,W,,,,4,water,10,10,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_137_4.fcs,,36,2.086,0.571,126.145,52,215.975,63.861,1635.944,0,,,,,IC16b_137_4.fcs,151694,0.012,0.103,100000,0.024,0.421,251694
Ice camp,2016,IC2016_137_5,2016-05-16,137,,67,28.7839998,N,63,47.3719998,W,,,,5,water,20,20,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_137_5.fcs,,46,37.347,13.314,101.657,33,240.358,89.299,1124.776,0,,,,,IC16b_137_5.fcs,151380,0.012,0.102,95545,0.026,0.416,246925
Ice camp,2016,IC2016_137_6,2016-05-16,137,,67,28.7839998,N,63,47.3719998,W,,,,6,water,40,40,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_137_6.fcs,,29,3.935,0.675,152.495,36,239.553,120.134,1383.809,0,,,,,IC16b_137_6.fcs,144686,0.012,0.101,90694,0.024,0.418,235380
Ice camp,2016,IC2016_137_I3,2016-05-16,137,,67,28.7839998,N,63,47.3719998,W,,,,IC3,ice,0-3 cm,,low,4000,5130,yes,Daniel,,FACS Canto,M. Tragin,IC16f_137_I3.fcs,,0,,,,7023,191.243,71.142,2014.216,0,,,,,IC16b_137_I3.fcs,0,,,168311,0.091,0.958,168311
Ice camp,2016,IC2016_137_I4,2016-05-16,137,,67,28.7839998,N,63,47.3719998,W,,,,IC4,ice,3-10 cm,,low,9300,12100,yes,Daniel,,FACS Canto,M. Tragin,IC16f_137_I4.fcs,,0,,,,1657,132.041,55.822,1294.345,0,,,,,IC16b_137_I4.fcs,0,,,91893,0.069,0.689,91893
Ice camp,2016,IC2016_139_FSW,2016-05-18,139,,67,28.7839998,N,63,47.3719998,W,,,,FSW,FSW,,,,,,,Daniel,Filtered,FACS Canto,M. Tragin,IC16f_139_FSW.fcs,,0,,,,0,,,,0,,,,,IC16b_139_FSW.fcs,3041,0.018,0.069,2017,0.058,0.527,5058
Ice camp,2016,IC2016_139_1,2016-05-18,139,,67,28.7839998,N,63,47.3719998,W,,,,1,water,Under Ice,0,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_139_1.fcs,,75,15.186,3.797,78.189,66,133.769,73.73,1683.239,0,,,,,IC16b_139_1.fcs,149256,0.013,0.104,94802,0.026,0.432,244058
Ice camp,2016,IC2016_139_2,2016-05-18,139,,67,28.7839998,N,63,47.3719998,W,,,,2,water,1.5,1.5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_139_2.fcs,,0,,,,72,255.435,148.664,1090.437,0,,,,,IC16b_139_2.fcs,149091,0.012,0.103,105405,0.028,0.44,254496
Ice camp,2016,IC2016_139_3,2016-05-18,139,,67,28.7839998,N,63,47.3719998,W,,,,3,water,5,5,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_139_3.fcs,,49,3.726,0.674,128.164,26,103.791,12.05,2113.089,0,,,,,IC16b_139_3.fcs,148463,0.012,0.104,109545,0.028,0.424,258008
Ice camp,2016,IC2016_139_4,2016-05-18,139,,67,28.7839998,N,63,47.3719998,W,,,,4,water,10,10,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_139_4.fcs,,36,24.455,7.339,108.61,56,248.783,150.51,1669.377,0,,,,,IC16b_139_4.fcs,153917,0.012,0.107,105000,0.026,0.444,258917
Ice camp,2016,IC2016_139_5,2016-05-18,139,,67,28.7839998,N,63,47.3719998,W,,,,5,water,20,20,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_139_5.fcs,,33,10.546,0.75,153.52,52,401.272,201.632,1752.322,0,,,,,IC16b_139_5.fcs,150777,0.013,0.104,93760,0.026,0.436,244537
Ice camp,2016,IC2016_139_6,2016-05-18,139,,67,28.7839998,N,63,47.3719998,W,,,,6,water,40,40,,,,,Daniel,,FACS Canto,M. Tragin,IC16f_139_6.fcs,,39,11.003,5.08,125.145,39,169.584,80.367,1928.351,0,,,,,IC16b_139_6.fcs,147917,0.013,0.102,90818,0.025,0.431,238735
Ice camp,2016,IC2016_139_I3,2016-05-18,139,,67,28.7839998,N,63,47.3719998,W,,,,IC3,ice,0-3 cm,,low,5300,6970,yes,Daniel,,FACS Canto,M. Tragin,IC16f_139_I3.fcs,,0,,,,26511,407.454,108.854,1738.585,0,,,,,IC16b_139_I3.fcs,0,,,376319,0.094,1.119,376319
Ice camp,2016,IC2016_139_I4,2016-05-18,139,,67,28.7839998,N,63,47.3719998,W,,,,IC4,ice,3-10 cm,,low,12400,15985,yes,Daniel,,FACS Canto,M. Tragin,IC16f_139_I4.fcs,,0,,,,1958,232.394,47.911,869.591,0,,,,,IC16b_139_I4.fcs,0,,,115857,0.066,0.723,115857
Ice camp,2016,IC2016_141_1,2016-05-20,141,,67,28.7839998,N,63,47.3719998,W,,,,1,water,Under Ice,0,,,,,Ian,,FACS Canto,M. Tragin,IC16f_141_1.fcs,,46,5.04,0.486,114.922,62,276.617,68.515,1410.95,0,,,,,IC16b_141_1.fcs,152628,0.013,0.107,103438,0.026,0.433,256066
Ice camp,2016,IC2016_141_2,2016-05-20,141,,67,28.7839998,N,63,47.3719998,W,,,,2,water,1.5,1.5,,,,,Ian,,FACS Canto,M. Tragin,IC16f_141_2.fcs,,26,21.953,3.787,60.93,59,248.963,113.402,1800.761,0,,,,,IC16b_141_2.fcs,153264,0.013,0.104,104983,0.028,0.45,258247
Ice camp,2016,IC2016_141_3,2016-05-20,141,,67,28.7839998,N,63,47.3719998,W,,,,3,water,5,5,,,,,Ian,,FACS Canto,M. Tragin,IC16f_141_3.fcs,,0,,,,88,342.573,117.415,1508.308,0,,,,,IC16b_141_3.fcs,155050,0.014,0.104,101727,0.028,0.454,256777
Ice camp,2016,IC2016_141_4,2016-05-20,141,,67,28.7839998,N,63,47.3719998,W,,,,4,water,10,10,,,,,Ian,,FACS Canto,M. Tragin,IC16f_141_4.fcs,,43,5.836,1.297,127.637,36,622.877,144.111,1425.361,0,,,,,IC16b_141_4.fcs,154446,0.013,0.107,98752,0.026,0.436,253198
Ice camp,2016,IC2016_141_5,2016-05-20,141,,67,28.7839998,N,63,47.3719998,W,,,,5,water,20,20,,,,,Ian,,FACS Canto,M. Tragin,IC16f_141_5.fcs,,43,9.362,0.484,98.089,39,843.289,183.86,1136.492,0,,,,,IC16b_141_5.fcs,151471,0.013,0.104,97182,0.026,0.429,248653
Ice camp,2016,IC2016_141_6,2016-05-20,141,,67,28.7839998,N,63,47.3719998,W,,,,6,water,40,40,,,,,Ian,,FACS Canto,M. Tragin,IC16f_141_6.fcs,,0,,,,62,191.26,36.292,1087.872,0,,,,,IC16b_141_6.fcs,156215,0.013,0.104,87471,0.026,0.433,243686
Ice camp,2016,IC2016_141_I3,2016-05-20,141,,67,28.7839998,N,63,47.3719998,W,,,,IC3,ice,0-3 cm,,low,5300,6880,yes,Ian,,FACS Canto,M. Tragin,IC16f_141_I3.fcs,,0,,,,35358,606.367,93.859,1621.422,0,,,,,IC16b_141_I3.fcs,0,,,370199,0.099,1.163,370199
Ice camp,2016,IC2016_141_I4,2016-05-20,141,,67,28.7839998,N,63,47.3719998,W,,,,IC4,ice,3-10 cm,,low,12400,16680,yes,Ian,,FACS Canto,M. Tragin,IC16f_141_I4.fcs,,0,,,,1916,435.355,51.909,704.795,0,,,,,IC16b_141_I4.fcs,0,,,83290,0.069,0.721,83290
Ice camp,2016,IC2016_141_2_TFF,2016-05-20,141,,67,28.7839998,N,63,47.3719998,W,,,,2,TFF,1.5,1.5,,,,,Ian,,FACS Canto,M. Tragin,IC16f_141_2_TFF.fcs,,25,289.652,67.072,40.196,62,608.702,147.24,732.666,0,,,,,IC16b_141_2_TFF.fcs,128099,0.014,0.074,73934,0.086,0.905,202033
Ice camp,2016,IC2016_141_4_TFF,2016-05-20,141,,67,28.7839998,N,63,47.3719998,W,,,,4,TFF,10,10,,,,,Ian,,FACS Canto,M. Tragin,IC16f_141_4_TFF.fcs,,201,67.712,12.125,90.838,603,776.158,161.548,1522.421,0,,,,,IC16b_141_4_TFF.fcs,166934,0.015,0.104,131595,0.029,0.453,298529
Ice camp,2016,IC2016_141_I3_TFF,2016-05-20,141,,67,28.7839998,N,63,47.3719998,W,,,,IC3,ice TFF,0-3 cm,,low,,,,Ian,,FACS Canto,M. Tragin,IC16f_141_I3_TFF.fcs,,0,,,,41500,414.374,191.444,2269.402,0,,,,,IC16b_141_I3_TFF.fcs,0,,,128562,0.093,1.121,128562
Ice camp,2016,IC2016_141_I4_TFF,2016-05-20,141,,67,28.7839998,N,63,47.3719998,W,,,,IC4,ice TFF,3-10 cm,,low,,,,Ian,,FACS Canto,M. Tragin,IC16f_141_I4_TFF.fcs,,0,,,,2035,704.69,93.82,1190.612,0,,,,,IC16b_141_I4_TFF.fcs,0,,,27926,0.069,0.769,27926
